Date,Forecast,Lower Bound,Upper Bound
2018-08-30,167.78944372077717,105.6313920497386,237.60288991709118
2018-08-31,161.7835906253281,100.91685305682635,222.8488368881289
2018-09-01,131.8122465051237,69.97794292209375,192.79671695327528
2018-09-02,143.53064596742303,78.43356532620786,204.10682729583598
2018-09-03,184.88627892784484,121.28331319917226,250.5654633517987
2018-09-04,184.7392762536694,119.85701574810601,246.11645791848005
2018-09-05,182.58621621977392,118.57463462306272,251.1536746226573
2018-09-06,179.1253590787105,120.09951403047052,242.47546635204674
2018-09-07,175.18242092724608,110.61911268379367,243.82374228591084
2018-09-08,146.86531032459052,87.49985701894241,212.12044595919284
2018-09-09,159.8175824780711,92.369291827957,224.73203020918035
2018-09-10,201.98528117861377,139.0599893711952,263.0752574561105
2018-09-11,202.2370809204882,137.89663899023137,261.7801449783083
2018-09-12,200.08759952604302,140.06701512504483,265.16351089573953
2018-09-13,196.2619032208489,131.96189011015804,257.87050636609104
2018-09-14,191.62033615393156,130.58032489109917,258.4433882316376
2018-09-15,162.31212427083915,101.07530901804036,229.52578555351127
2018-09-16,174.02753976332858,109.99437605451203,235.66776378897774
2018-09-17,214.76333182169844,153.50241344164795,278.19799173787743
2018-09-18,213.4413748651558,149.50186733757053,277.72092406025797
2018-09-19,209.63044548457015,141.82708472391445,271.90845496890483
2018-09-20,204.10919203328442,142.33130425766828,267.92099968227376
2018-09-21,197.78947080271752,133.91778241169052,257.10463036197103
2018-09-22,166.8685394494726,98.85172416321858,234.13712929216703
2018-09-23,177.07993236550783,113.59851196592776,237.75227529173847
2018-09-24,216.4577588417014,154.79999238563173,277.1756326340294
2018-09-25,213.9544060145764,148.02619765465084,274.98579436927133
2018-09-26,209.1615834724299,143.2708265211911,271.47341450576886
2018-09-27,202.8727932132754,141.32509632744552,262.75656370270843
2018-09-28,196.00641218806467,131.002463791087,262.0191217559352
