category,order_count,customer_count,total_revenue,total_gmv,avg_price,avg_freight,avg_review_score,bad_review_rate,avg_comment_len,repeat_rate,first_sale_date,last_sale_date,category_lifetime_days,bcg_category
moveis_decoracao,6449,6449,733077.86,906730.0,87.531685,20.734584,3.9114,19.30403,31.3529,1.0,2016-09-04 21:15:19,2018-08-28 21:56:12,723,Problem
moveis_escritorio,1273,1273,275014.5,343819.29,161.773235,40.473406,3.4988,25.92372,39.8522,1.0,2016-10-04 18:52:56,2018-08-28 20:49:17,693,Problem
moveis_quarto,95,95,20028.78,24661.01,183.750275,42.497523,4.0943,16.98113,33.5189,1.0,2017-01-05 13:34:35,2018-08-25 12:54:41,597,Opportunity
moveis_sala,422,422,69390.46,87447.98,137.406851,35.757465,3.8931,18.34677,29.6875,1.0,2017-01-27 12:10:43,2018-08-24 21:17:00,574,Problem
musica,38,38,6034.35,6724.86,158.798684,18.171316,4.1892,10.81081,33.2432,1.0,2017-01-05 13:43:17,2018-08-19 12:40:19,591,Opportunity
papelaria,2311,2311,231139.23,277995.12,91.685534,18.586232,4.1959,13.02083,26.758,1.0,2017-01-05 13:52:39,2018-08-27 20:31:22,599,Star
pc_gamer,8,8,1545.95,1679.52,171.772222,14.841111,3.3333,33.33333,16.3333,1.0,2017-04-17 14:31:24,2018-08-18 22:35:15,488,Dog
pcs,181,181,222963.13,232799.43,1098.340542,48.45468,4.175,13.0,27.845,1.0,2017-01-30 13:13:59,2018-08-22 16:21:33,569,Star
perfumaria,3162,3162,399772.51,454120.89,116.619752,15.854253,4.165,14.50382,26.3097,1.0,2016-10-04 13:15:46,2018-08-27 14:39:21,692,Star
pet_shop,1710,1710,214443.41,254023.65,110.083886,20.318398,4.1841,12.97828,28.0476,1.0,2016-10-06 12:22:07,2018-08-26 19:04:05,689,Star
portateis_casa_forno_e_cafe,75,75,47445.71,50193.57,624.285658,36.156053,4.2933,10.66667,24.0133,1.0,2017-06-30 10:13:23,2018-08-23 21:43:41,419,Star
portateis_cozinha_e_preparadores_de_alimentos,14,14,3968.53,4278.29,264.568667,20.650667,3.2667,33.33333,69.0,1.0,2018-05-08 17:18:14,2018-08-27 12:41:49,111,Dog
relogios_presentes,5624,5624,1206047.43,1306718.4,201.007905,16.778495,4.0192,16.25126,32.5896,1.0,2016-10-03 09:44:50,2018-08-29 09:48:09,695,Problem
seguros_e_servicos,2,2,283.29,324.51,141.645,20.61,2.5,50.0,115.0,1.0,2017-01-26 11:09:00,2017-09-17 16:51:43,234,Dog
sinalizacao_e_seguranca,140,140,21509.23,28017.05,108.086583,32.702613,4.0816,11.73469,34.102,1.0,2017-03-27 19:30:45,2018-08-24 11:44:39,515,Opportunity
tablets_impressao_imagem,79,79,7528.41,8754.61,90.703735,14.773494,4.1235,13.58025,28.6049,1.0,2017-02-02 17:22:31,2018-06-09 13:39:44,492,Opportunity
telefonia,4199,4199,323735.4,395000.21,71.181926,15.669483,3.9472,16.82927,33.3767,1.0,2016-09-05 00:15:34,2018-08-28 13:28:34,722,Problem
telefonia_fixa,217,217,59622.99,64281.6,224.992415,17.57966,3.6832,25.57252,36.355,1.0,2016-10-04 10:41:17,2018-08-13 12:30:06,678,Problem
utilidades_domesticas,5884,5884,632981.59,779419.99,90.698036,20.98272,4.0562,15.61731,29.3565,1.0,2016-10-04 09:59:03,2018-08-28 19:32:05,693,Star
