snapshot_key,snapshot_id,unique_user_id,first_purchase_date,last_purchase_date,obs_date,is_churned_30d,is_churned_60d,is_churned_90d,is_churned_180d,is_churned_270d,total_orders,total_gmv,days_since_last_order,customer_age_days,avg_rating,rating_std,bad_review_count,avg_delivery_days,delayed_orders,category_diversity,total_category_purchases,total_category_gmv,dominant_category,cat_purchase_beleza_saude,cat_purchase_brinquedos,cat_purchase_cama_mesa_banho,cat_purchase_esporte_lazer,cat_purchase_fashion_bolsas_e_acessorios,cat_purchase_informatica_acessorios,cat_purchase_moveis_decoracao,cat_purchase_perfumaria,cat_purchase_relogios_presentes,cat_purchase_utilidades_domesticas,cat_gmv_beleza_saude,cat_gmv_brinquedos,cat_gmv_cama_mesa_banho,cat_gmv_esporte_lazer,cat_gmv_fashion_bolsas_e_acessorios,cat_gmv_informatica_acessorios,cat_gmv_moveis_decoracao,cat_gmv_perfumaria,cat_gmv_relogios_presentes,cat_gmv_utilidades_domesticas,customer_state,customer_city,target,avg_rating_was_missing,rating_std_was_missing,avg_delivery_days_was_missing,order_count,total_spent,days_per_order,orders_per_month,avg_order_value,gmv_per_day,recency_ratio,is_recent_active,is_satisfied,has_bad_review,delay_rate,has_delay,state_encoded,first_purchase_month,first_purchase_quarter,last_purchase_month,last_purchase_quarter,churn_probability,risk_level,is_high_value
294e0922aa06792eea5094656727c0bd__20170705,2,294e0922aa06792eea5094656727c0bd,2017-05-03 19:41:22,2017-05-20 15:56:32,2017-07-05 15:00:37,1,1,1,1,1,2,374.15,46,63,5.0,0.0,0.0,14.5,0.0,2,2,374.15,pet_shop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.44,SP,tremembe,1,0,0,0,2,374.15,21.0,0.6451612903225806,124.71666666666665,5.84609375,0.71875,0,1,0,0.0,0,23,5,2,5,2,0.873203775534605,High Risk,1
2cf396c9e24e7627ff042cccb209b9e6__20171102,6,2cf396c9e24e7627ff042cccb209b9e6,2017-08-10 18:16:59,2017-09-18 23:34:58,2017-11-02 15:00:37,1,1,1,1,1,2,429.3,45,84,3.5,1.5,1.0,10.5,0.0,2,2,429.29999999999995,cool_stuff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SP,irape,1,0,0,0,2,429.3,28.0,0.5263157894736842,143.1,5.050588235294118,0.5294117647058824,0,0,1,0.0,0,23,8,3,9,3,0.9405032681462611,High Risk,1
31bfa97f1ea0663a50ebc5c811ebdf4d__20171202,7,31bfa97f1ea0663a50ebc5c811ebdf4d,2017-10-10 16:06:13,2017-11-02 19:29:31,2017-12-02 15:00:37,1,1,1,1,1,2,937.36,30,53,2.5,1.5,1.0,16.0,1.0,2,2,937.36,relogios_presentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.84,0.0,SP,diadema,1,0,0,0,2,937.36,17.666666666666668,0.7228915662650602,312.4533333333333,17.35851851851852,0.5555555555555556,1,0,1,0.3333333333333333,1,23,10,4,11,4,0.830957232964067,High Risk,1
346534c8088852932d947f4b8fea3959__20170903,4,346534c8088852932d947f4b8fea3959,2017-06-07 11:47:43,2017-07-26 15:04:07,2017-09-03 15:00:37,1,1,1,1,1,2,540.82,39,88,2.5,0.5,1.0,21.5,1.0,1,2,540.82,instrumentos_musicais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA,salvador,1,0,0,0,2,540.82,29.333333333333332,0.5084745762711864,180.27333333333334,6.076629213483146,0.43820224719101125,0,0,1,0.3333333333333333,1,3,6,2,7,3,0.9151170931225299,High Risk,1
359bacb2b5c52b4287667a7bc6c7bc63__20170705,2,359bacb2b5c52b4287667a7bc6c7bc63,2017-04-17 09:16:55,2017-05-15 17:13:19,2017-07-05 15:00:37,1,1,1,1,1,2,580.9,51,79,3.0,1.0,1.0,16.0,0.0,1,3,580.9,informatica_acessorios,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.9,0.0,0.0,0.0,0.0,PR,campo mourao,1,0,0,0,2,580.9,26.333333333333332,0.5504587155963303,193.63333333333333,7.2612499999999995,0.6375,0,0,1,0.0,0,16,4,2,5,2,0.8615125249481904,High Risk,1
37545efd489b0b7c9aa20690f344271d__20171102,6,37545efd489b0b7c9aa20690f344271d,2017-09-18 00:28:51,2017-09-18 00:28:52,2017-11-02 15:00:37,1,1,1,1,1,2,897.68,45,45,5.0,0.0,0.0,18.0,0.0,1,2,897.68,esporte_lazer,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.68,0.0,0.0,0.0,0.0,0.0,0.0,RO,extrema,1,0,0,0,2,897.68,15.0,0.8,299.22666666666663,19.51478260869565,0.9782608695652174,0,1,0,0.0,0,19,9,3,9,3,0.866732818804924,High Risk,1
455c17b35969ca198c17f2fc9e8eba1b__20171102,6,455c17b35969ca198c17f2fc9e8eba1b,2017-03-10 02:59:42,2017-09-14 11:16:49,2017-11-02 15:00:37,1,1,1,0,0,2,446.38,49,237,2.0,1.0,1.0,24.5,1.0,1,4,446.38,beleza_saude,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA,salvador,0,0,0,0,2,446.38,79.0,0.2247191011235955,148.79333333333332,1.875546218487395,0.20588235294117646,0,0,1,0.3333333333333333,1,3,3,1,9,3,0.8502226057502345,High Risk,1
459759c02362af7a218dd2fe035b3c07__20171003,5,459759c02362af7a218dd2fe035b3c07,2017-08-16 10:59:06,2017-08-16 10:59:07,2017-10-03 15:00:37,1,1,1,1,1,2,781.19,48,48,2.5,1.5,1.0,9.6667,0.0,1,4,781.19,informatica_acessorios,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.19,0.0,0.0,0.0,0.0,CE,maracanau,1,0,0,0,2,781.19,16.0,0.7692307692307692,260.3966666666667,15.94265306122449,0.9795918367346939,0,0,1,0.0,0,4,8,3,8,3,0.8395253328804634,High Risk,1
4c45ebf94ecf4107850d91bc326851c3__20171102,6,4c45ebf94ecf4107850d91bc326851c3,2017-09-04 23:02:26,2017-09-04 23:02:26,2017-11-02 15:00:37,1,1,1,1,1,2,529.56,59,59,1.0,0.0,1.0,7.0,0.0,1,2,529.56,moveis_decoracao,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.56,0.0,0.0,0.0,SC,ituporanga,1,0,0,0,2,529.56,19.666666666666668,0.6741573033707865,176.51999999999998,8.825999999999999,0.9833333333333333,0,0,1,0.0,0,21,9,3,9,3,0.8687286135732092,High Risk,1
4c5ae17e8984ca0916543b159eac0f2c__20171003,5,4c5ae17e8984ca0916543b159eac0f2c,2017-08-15 23:23:16,2017-08-20 19:20:05,2017-10-03 15:00:37,1,1,1,1,1,2,577.96,44,49,3.0,2.0,1.0,7.5,0.0,1,3,577.96,fashion_bolsas_e_acessorios,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.96,0.0,0.0,0.0,0.0,0.0,RJ,rio de janeiro,1,0,0,0,2,577.96,16.333333333333332,0.759493670886076,192.65333333333334,11.5592,0.88,0,0,1,0.0,0,17,8,3,8,3,0.8294876034463744,High Risk,1
4c93744516667ad3b8f1fb645a3116a4__20171202,7,4c93744516667ad3b8f1fb645a3116a4,2017-09-14 18:14:31,2017-10-15 12:44:13,2017-12-02 15:00:37,1,1,1,1,1,2,565.88,48,79,5.0,0.0,0.0,12.0,0.0,2,2,565.88,telefonia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.21,0.0,0.0,0.0,0.0,0.0,0.0,SC,jaragua do sul,1,0,0,0,2,565.88,26.333333333333332,0.5504587155963303,188.62666666666667,7.0735,0.6,0,1,0,0.0,0,21,9,3,10,4,0.8510776002071748,High Risk,1
5735fac0e3e12fee0b0545828a977acd__20170804,3,5735fac0e3e12fee0b0545828a977acd,2017-02-21 13:45:39,2017-06-30 14:56:23,2017-08-04 15:00:37,1,1,1,1,1,2,380.76,35,164,3.5,0.5,0.0,13.0,0.0,2,2,380.76,utilidades_domesticas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.63,SP,sao paulo,1,0,0,0,2,380.76,54.666666666666664,0.30927835051546393,126.92,2.3076363636363637,0.21212121212121213,0,0,0,0.0,0,23,2,1,6,2,0.832147971949536,High Risk,1
59d66d72939bc9497e19d89c61a96d5f__20171003,5,59d66d72939bc9497e19d89c61a96d5f,2017-03-02 12:13:18,2017-08-10 22:09:50,2017-10-03 15:00:37,1,1,1,1,1,2,3559.99,54,215,5.0,0.0,0.0,16.5,1.0,1,2,3559.99,esporte_lazer,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3559.99,0.0,0.0,0.0,0.0,0.0,0.0,SP,sao paulo,1,0,0,0,2,3559.99,71.66666666666667,0.24489795918367344,1186.6633333333332,16.481435185185184,0.25,0,1,0,0.3333333333333333,1,23,3,1,8,3,0.8361743123221386,High Risk,1
