Risk Level,Users,Cost per User,Expected Success Rate,Total Cost,Expected Recovered Users,Expected Value,Net Value,ROI (%)
Low Risk,165,10,0.05,1650,8.25,4125.0,2475.0,150.0
Medium Risk,310,40,0.12,12400,37.199999999999996,18599.999999999996,6199.999999999996,50.0
High Risk,355,120,0.2,42600,71.0,35500.0,-7100.0,-16.67
