cluster_name,state_count,total_order_count,avg_review_score,bad_review_rate,avg_delivery_days,delay_rate
Balanced Core Markets,9,45543,4.075233333333333,14.806307777777777,14.33658888888889,7.3422077777777774
High-AOV Potential Markets,9,4410,4.092866666666667,14.20660111111111,20.818422222222225,6.22321888888889
Logistics-Stressed Markets,8,7742,3.8016875,20.9948025,22.541362499999998,13.998059999999999
Super Core Outlier Market,1,41746,4.1756,12.58946,8.7033,4.36689
