Model,MAE,RMSE,MAPE (%)
Exponential Smoothing,79.02272651592524,98.84719450513676,132.93909926668036
"ARIMA(1,1,1)",79.44056794418111,95.37561653105682,122.88439293301698
Moving Average,79.77142857142857,96.7457710584141,126.25940943942634
Prophet,80.36039808491165,90.30691895133617,108.3658756485069
Naive,81.33333333333333,111.60525674596754,154.85077122095979
